Variable,L01,L02,L03,L04,L05,L06,L07
VAAgri,-0.0069,-0.0076*,-0.0020,-0.0037,0.0025,0.0019,-0.0010
,(0.0038),(0.0033),(0.0048),(0.0049),(0.0051),(0.0046),(0.0027)
VAWorker,0.0616**,0.0704***,0.0433,0.0354,-0.0112,-0.0104,0.0121
,(0.0227),(0.0190),(0.0327),(0.0273),(0.0189),(0.0170),(0.0092)
CFCAgri,-2.1967,-2.8150,-5.9576,-5.2280,-0.0242,0.2777,-2.3388*
,(3.0902),(2.5880),(3.4743),(2.9124),(2.6627),(2.2570),(0.9763)
FCE,0.0009,-0.0010,-0.0001,0.0009,0.0149***,0.0149***,-0.0019
,(0.0064),(0.0057),(0.0081),(0.0073),(0.0037),(0.0029),(0.0012)
TaxesSubsidies,-0.0191,-0.0155,0.0287,0.0238,-0.0255,-0.0317**,0.0120*
,(0.0213),(0.0194),(0.0303),(0.0271),(0.0135),(0.0103),(0.0050)
Constant,70.9555,58.7389,-65.4513,-54.6891,262.1270***,252.3085***,-75.1185***
,(67.6453),(60.5071),(92.5921),(84.6693),(37.2487),(27.8570),(13.6150)
Observations,30,30,30,30,30,30,30
R-squared,0.8721,0.8105,0.9563,0.9713,0.9479,0.9630,0.9855
Hansen test ,0.0408,0.0206,0.0088,0.0070,0.0028,0.0289,0.8812
,,,,,,,
,,,,,,,
,,,,,,,
Variable,L08,L09,L10,L11,L12,L13,L14
,(8),(9),(10),(11),(12),(13),(14)
Lindex,35.3257***,26.6621*,2.7378***,-227.0047,510.4103**,-0.3033,1.2241
,(4.8066),(11.8848),(0.7760),(224.5299),(182.5438),(0.3241),(9.7418)
Employment,0.0058***,0.0048,0.0006***,-0.0557,0.1331**,0.0000,0.0080***
,(0.0014),(0.0027),(0.0002),(0.0528),(0.0463),(0.0001),(0.0024)
Temperature,-0.4342,-1.3840,0.0651,-23.2213***,4.8656,0.0037,-0.0222
,(0.4113),(0.9069),(0.0456),(6.5969),(9.3787),(0.0156),(0.4356)
NCSAgri,0.1491*,0.1426,0.0063,-1.8934,2.4040,0.0032,0.2900**
,(0.0581),(0.0942),(0.0081),(1.9874),(2.0568),(0.0021),(0.1116)
GFCFAgri,-0.0779**,-0.0161,-0.0056,-0.5199,-1.2340,-0.0043***,-0.0956**
,(0.0244),(0.0370),(0.0042),(0.6046),(0.8077),(0.0010),(0.0360)
CreditAgri,-0.0027,-0.0109*,-0.0002,0.0043,0.0326,0.0000,-0.0107***
,(0.0031),(0.0055),(0.0004),(0.0474),(0.0900),(0.0001),(0.0021)
RDBFunds,-0.0039,-0.0098,-0.0011,0.1048,-0.3866*,0.0003,-0.0208***
,(0.0059),(0.0098),(0.0008),(0.1296),(0.1739),(0.0003),(0.0061)
TechnicalGrants,-0.0022,-0.0015,-0.0000,-0.0287,-0.2059**,0.0001,-0.0053
,(0.0029),(0.0033),(0.0005),(0.0639),(0.0754),(0.0001),(0.0045)
ForeignAid,-0.0002,0.0018,-0.0001,-0.0016,0.0100,0.0000,0.0008*
,(0.0003),(0.0010),(0.0000),(0.0039),(0.0073),(0.0000),(0.0003)
FDIAgri,-0.0136***,-0.0012,-0.0001,0.0452,0.1549***,-0.0002,-0.0001
,(0.0027),(0.0040),(0.0005),(0.0388),(0.0432),(0.0002),(0.0023)
VAAgri,-0.0016,-0.0028,-0.0004,0.0733,-0.0882,0.0000,-0.0129***
,(0.0026),(0.0027),(0.0003),(0.0558),(0.0794),(0.0001),(0.0024)
VAWorker,0.0111,0.0184,0.0005,-0.0606,0.6464*,-0.0000,0.0581***
,(0.0084),(0.0101),(0.0010),(0.2718),(0.3005),(0.0002),(0.0130)
CFCAgri,-2.2856*,-1.9745,-0.0898,27.2991,-41.3014,-0.0615,-4.5148**
,(0.8908),(1.4726),(0.1288),(30.7990),(31.9085),(0.0329),(1.7436)
FCE,-0.0011,-0.0061*,0.0002,0.1347**,0.0282,0.0001,-0.0010
,(0.0009),(0.0027),(0.0002),(0.0498),(0.0393),(0.0001),(0.0022)
TaxesSubsidies,0.0102*,0.0221*,0.0006,-0.5763***,-0.2056,0.0008*,0.0023
,(0.0042),(0.0092),(0.0005),(0.1602),(0.1138),(0.0004),(0.0082)
Constant,-72.4037***,-56.4672*,-3.3053*,638.5401,-1114.5857*,0.9886,-28.3137
,(11.3279),(27.4613),(1.6309),(555.6171),(438.3674),(0.6932),(23.7258)
Observations,30,30,30,30,30,30,30
R-squared,0.9846,0.9201,0.9882,0.9487,0.9163,0.9112,0.8794
Hansen test ,0.6787,0.0863,0.0208,0.0263,0.0008,0.0018,0.0969
